303506,2017-05-24
1948125,2017-08-18
632482,2018-01-27
1634778,2016-05-06
972627,2016-05-14
287877,2016-11-02
825334,2017-05-13
1111645,2017-08-11
1576676,2019-02-16
2010495,2019-07-10
1904324,2019-08-17
964137,2019-12-25
167382,2020-03-12
1240776,2018-05-15
347499,2018-09-15
381459,2018-12-15
809659,2019-12-27
1433628,2016-03-02
194226,2017-02-18
1605063,2020-06-18
1079159,2016-01-27
1659112,2016-05-17
1199531,2016-06-01
2025955,2016-11-24
2016137,2017-02-21
1609162,2017-08-24
1520094,2018-02-05
1368341,2018-07-26
1344122,2019-02-23
45436,2017-05-25
1970893,2016-03-10
310622,2016-05-07
1322851,2016-10-28
1409340,2016-11-15
1871500,2016-12-20
576913,2019-01-07
1443446,2016-08-08
1728306,2017-10-04
1651927,2017-12-18
1399330,2018-05-17
1025279,2019-11-08
1742438,2016-06-03
2098212,2016-06-20
829679,2016-10-14
1065004,2017-05-20
725795,2017-05-23
595267,2018-03-02
751680,2019-01-08
49950,2019-08-21
215351,2019-08-22
2074070,2020-06-23
123266,2016-10-20
1228187,2017-04-29
1507090,2017-05-11
1290119,2017-11-04
205510,2018-04-27
1915808,2018-09-26
1796733,2019-01-01
1082222,2019-11-15
472362,2017-03-01
554606,2018-08-21
115168,2019-09-12
1627931,2019-12-28
526411,2016-02-11
533358,2017-06-24
2098404,2018-07-25
1820245,2018-07-31
995272,2018-09-22
204136,2019-02-25
815009,2019-09-23
2064083,2016-10-29
680259,2017-12-12
466912,2018-08-09
831099,2019-07-14
503789,2020-01-31
700909,2020-03-07
1522988,2017-09-09
493610,2018-10-13
569989,2019-06-03
733080,2016-01-09
1865927,2018-03-01
603634,2019-12-28
1655136,2017-09-20
1579839,2019-01-16
1387156,2016-12-05
1041698,2017-01-07
2016721,2018-06-19
176310,2019-07-19
1428776,2019-09-13
1346532,2019-10-30
1853561,2019-12-28
463334,2020-02-07
706651,2020-05-05
1537343,2018-11-09
391761,2020-06-11
1229784,2016-02-18
725672,2016-12-29
1474189,2017-02-02
730747,2018-09-25
790269,2018-11-28
1557761,2018-12-20
1814480,2019-05-25
1380707,2019-08-30
2022861,2016-09-29
529903,2016-10-19
491529,2019-01-30
848846,2019-02-19
8098,2019-08-21
892533,2017-09-08
35795,2019-02-16
389013,2017-04-27
1508295,2017-10-28
511426,2018-01-19
728022,2018-05-03
91218,2018-07-14
418651,2019-08-29
1883820,2016-02-10
544035,2016-02-18
1882071,2017-06-10
1869336,2018-03-13
1983213,2019-06-06
1473522,2019-07-03
1520217,2019-08-13
1709345,2020-02-27
13365,2021-02-19
89721,2016-06-28
1815456,2016-11-16
918186,2017-06-24
739091,2017-08-15
363712,2017-11-02
1529022,2019-05-03
1302333,2016-01-16
12160,2016-03-03
2059592,2016-07-23
1381660,2017-02-25
1068419,2017-05-17
1229492,2017-05-27
1376585,2018-02-15
566465,2018-12-21
236161,2019-01-04
2067999,2019-11-28
219098,2019-12-30
1141652,2016-05-07
1735668,2017-12-28
358637,2018-02-15
1858665,2018-05-02
409577,2019-07-17
360795,2020-12-19
2070455,2016-03-09
118829,2016-08-27
959331,2016-12-22
535791,2019-02-20
1291470,2019-10-09
325936,2019-10-16
872673,2020-01-14
661636,2016-01-05
39894,2016-02-09
1792273,2016-12-31
1537074,2016-06-11
1391155,2016-10-27
2083482,2018-10-27
1187686,2016-11-16
1523947,2017-11-16
62416,2018-06-30
801069,2018-10-11
1884596,2018-12-27
912713,2017-06-10
743482,2017-07-27
139479,2018-06-27
590232,2018-08-09
1436891,2019-06-08
305962,2019-06-15
636266,2019-12-16
126744,2020-07-09
1119720,2016-02-20
625297,2016-02-23
1899495,2016-05-12
1559404,2016-07-07
470965,2017-05-09
306354,2017-07-04
85430,2019-02-28
1426220,2019-10-31
277538,2016-02-24
1598422,2016-11-12
1454163,2019-05-16
803041,2019-10-31
707089,2016-01-13
807641,2016-10-12
790329,2017-10-14
1766136,2019-09-28
667318,2016-01-20
783691,2016-02-06
370811,2016-06-11
1843780,2018-01-13
876841,2018-06-08
1010025,2018-07-31
1909376,2018-09-03
1277982,2018-11-24
634686,2019-09-03
425996,2019-12-03
1970395,2020-02-14
1081217,2017-11-25
751036,2018-12-22
91756,2019-01-05
1656716,2019-09-14
1842475,2021-02-18
2050933,2016-01-09
800548,2016-01-09
2072158,2016-11-02
1757500,2017-02-09
1540821,2018-05-10
1991497,2019-01-26
1955971,2016-01-06
1020536,2017-02-11
411864,2017-12-27
168089,2019-10-05
88785,2016-06-16
259842,2016-09-22
2037906,2016-12-16
292643,2018-08-23
1314859,2019-06-15
423002,2019-09-02
797322,2016-01-11
889931,2018-02-15
1767848,2018-07-12
1094994,2019-07-21
1577535,2016-08-05
1182299,2017-01-27
820276,2017-05-10
239991,2019-09-10
1435185,2020-05-02
980164,2016-01-02
1656756,2017-11-01
1310468,2019-05-04
1939452,2020-02-12
1984464,2017-11-15
1254510,2017-11-17
534048,2018-06-28
1581565,2018-09-18
1955493,2018-12-25
564676,2019-02-04
1251347,2019-02-18
835381,2020-07-09
1613178,2016-09-29
1179986,2016-10-20
420523,2018-08-14
1485404,2018-08-25
